Mode,Quantized,DataWidth,EbN0dB,BER,BERTheory,EVMPct,RxSymbolPower,PhaseErrorDeg
BASEBAND,0,12,0,0.07973,0.0786496035251426,68.4936961299279,1.39304167568419,1.67421062783379
BASEBAND,0,12,2,0.03875,0.037506128358926,60.7341172649213,1.5010747283297,-3.09297535425968
BASEBAND,0,12,4,0.01314,0.0125008180407376,48.8582426323009,1.39166441110878,-1.07869095804701
BASEBAND,0,12,6,0.00232,0.00238829078093281,34.15890782708,1.02238100176769,-0.712881430921611
BASEBAND,0,12,8,0.00023,0.000190907774075993,27.8418017533617,1.04222848574897,0.083559756343125
BASEBAND,0,12,10,1e-05,3.87210821552204e-06,22.292236300397,1.03825510521743,-0.0487076280976223
BASEBAND,0,12,12,0,9.00601035062875e-09,17.9198676245721,1.03139938549804,1.23258646477691
BASEBAND,0,12,14,0,6.81018912878076e-13,13.9652511338561,0.969270058380006,0.383357617993313
BASEBAND,1,12,0,0.07833,0.0786496035251426,60.9569389155137,1.33882530299618,-0.772880830094066
BASEBAND,1,12,2,0.0397,0.037506128358926,51.1407344368714,1.28628040238576,-6.22088898341323
BASEBAND,1,12,4,0.01223,0.0125008180407376,38.9406052243882,1.11501291561256,0.618036381680582
BASEBAND,1,12,6,0.00248,0.00238829078093281,32.6893509730305,1.11584608285445,2.52429787318578
BASEBAND,1,12,8,0.0002,0.000190907774075993,26.8466112687479,1.07792978391546,-1.2568076873054
BASEBAND,1,12,10,0,3.87210821552204e-06,21.4871559920021,1.00876319052402,0.0115532846135272
BASEBAND,1,12,12,0,9.00601035062875e-09,17.9428199560406,1.06032548520161,-0.490199516763768
BASEBAND,1,12,14,0,6.81018912878076e-13,14.0185705772137,1.00457578253012,0.350457599128779
