Mode,DataWidth,BER,IntrinsicEVMPct,LUT_Est,FF_Est,BRAM_Est,DSP_Est,LatencyCycles_Est,FmaxMHz_Est,Score,MeetsEVM1Pct
BASEBAND,10,0,0.438125365042728,680,900,1,0,42,220,0.0955282156777262,1
BASEBAND,8,0,0.776897801718816,596,784,1,0,42,225,0.171586592156528,1
FS4_IF,10,0,0.568840883663754,770,1010,1,0,46,210,0.225688853135013,1
BASEBAND,12,0,0.374578207845443,764,1016,1,1,42,215,0.226856705739888,1
BASEBAND,14,0,0.341118173027206,848,1132,1,1,42,210,0.269924530944662,1
BASEBAND,16,0,0.337132965456635,932,1248,1,1,42,205,0.324492787163465,1
DDS_IF,10,0,0.559750367878133,910,1130,2,0,52,198,0.332608260529696,1
FS4_IF,12,0,0.571843588625494,854,1126,1,1,46,205,0.38298363953276,1
FS4_IF,14,0,0.53991870318262,938,1242,1,1,46,200,0.426650446347815,1
FS4_IF,8,0,1.23139827553179,686,894,1,0,46,215,0.428081016383018,0
CORDIC_IF,10,0,0.564184780445185,1040,1330,0,0,60,175,0.47022104708713,1
FS4_IF,16,0,0.542519577715867,1022,1358,1,1,46,195,0.483788447327165,1
DDS_IF,12,0,0.570495171338265,994,1246,2,1,52,193,0.492923843926062,1
CORDIC_IF,12,0,0.564454066788873,1124,1446,0,0,60,170,0.526449313502072,1
DDS_IF,14,0,0.541404935172301,1078,1362,2,1,52,188,0.537696668706351,1
DDS_IF,8,0,1.23415930508668,826,1014,2,0,52,203,0.539624636786752,0
CORDIC_IF,14,0,0.538159896003065,1208,1562,0,0,60,165,0.572313101657481,1
DDS_IF,16,0,0.540405845633104,1162,1478,2,1,52,183,0.593430042675668,1
CORDIC_IF,16,0,0.541386430501676,1292,1678,0,0,60,160,0.629695221430453,1
CORDIC_IF,8,0,1.23062208191337,956,1214,0,0,60,180,0.674127065949022,0
